$CASNumber$,$prospectCAS$,$auto_status$,$on_ref_list$,$curatedCAS$,$categoryCAS$,$is_new$,$comment$,$first_date$,$change_date$,$change_comment$
$!4808-60-7$,$$,$unk$,$unk$,$14808-60-7$,$corrected$,$False$,$typo$,$d:2021-10-06$,$$,$$
$"9003-05-8$,$9003-05-8$,$cleaned$,$verified;normal$,$9003-05-8$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$'9003-04-7$,$9003-04-7$,$cleaned$,$verified;normal$,$9003-04-7$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$(1338-43-8#)$,$1338-43-8$,$cleaned$,$verified;normal$,$1338-43-8$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$(14808-60-7#)$,$14808-60-7$,$cleaned$,$verified;normal$,$14808-60-7$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$(64742-47-8#)$,$64742-47-8$,$cleaned$,$verified;normal$,$64742-47-8$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$(67-48-1#)$,$67-48-1$,$cleaned$,$verified;normal$,$67-48-1$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$(7647-14-5#)$,$7647-14-5$,$cleaned$,$verified;normal$,$7647-14-5$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$(7727-54-0#)$,$7727-54-0$,$cleaned$,$verified;normal$,$7727-54-0$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$(7732-18-5#)$,$7732-18-5$,$cleaned$,$verified;normal$,$7732-18-5$,$perfect match$,$False$,$$,$d:2021-10-06$,$$,$$
$(78330-21-9#)$,$78330-21-9$,$cleaned$,$verified;normal$,$78330-21-9$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$(83446-68-8#)$,$83446-68-8$,$cleaned$,$verified;normal$,$83446-68-8$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$(9005-65-6#)$,$9005-65-6$,$cleaned$,$verified;normal$,$9005-65-6$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$(Proprietary)$,$$,$unk$,$unk$,$proprietary$,$proprietary$,$False$,$$,$d:2021-10-06$,$$,$$
$(cid:3)1319-33-1$,$$,$unk$,$unk$,$1319-33-1$,$corrected$,$False$,$typo$,$d:2021-10-06$,$$,$$
$(cid:98)(cid:98)(cid:98)(cid:98)(cid:98)(cid:98)71$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$-16) olefin sulfonate68439-57-6$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$-50-5,629-59-4,67-56-1$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$-96-6$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$-97-0$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$.7664-09-5$,$$,$unk$,$unk$,$7446-09-5$,$corrected$,$False$,$typo$,$d:2021-10-06$,$$,$$
$0$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0-0-0$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0-00-0$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00000320$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00003$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00005000$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00006$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00009611$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00012$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00015$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00016018027259773$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.000178755678248593$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00022426$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00026$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.000285151312955525$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00029$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00035$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00043$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00047000$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00113$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00131$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00174$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00183$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00232$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00244$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00322$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.005$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00611$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00679$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00732$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00873$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.00984$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.01$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.01391$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.02$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.03$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.03212$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.03246$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.03518$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.03650$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.04$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.04617$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.05$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.05279$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.07$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.075$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.08437$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.0889682799930225$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.09137$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.09538$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.1$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.10$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.11444$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.15$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.16$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.17$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.2$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.21097$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.24$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.25$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.3$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.35$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.38$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.4$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.5$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.55$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.6$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.62$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.65$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.66$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.7$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.72$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.75$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.8$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.90879369863625$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.95$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.96$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.98$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0.999$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$00-00-0$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$00-00-00$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$00-00-1$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$000-00-0$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$000-111-422$,$$,$unk$,$unk$,$111-42-2$,$corrected$,$False$,$$,$d:2021-10-06$,$$,$$
$0000$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0000-00-0$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$00000$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$00000-00-0$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$000000$,$$,$unk$,$unk$,$ambiguous$,$ambiguousID$,$False$,$$,$d:2021-10-06$,$$,$$
$0000050-00-0$,$50-00-0$,$cleaned$,$verified;normal$,$50-00-0$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$0000062-56-6$,$62-56-6$,$cleaned$,$verified;normal$,$62-56-6$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$0000064-17-5$,$64-17-5$,$cleaned$,$verified;normal$,$64-17-5$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$0000067-48-1$,$67-48-1$,$cleaned$,$verified;normal$,$67-48-1$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$0000067-56-1$,$67-56-1$,$cleaned$,$verified;normal$,$67-56-1$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$0000111-30-8$,$111-30-8$,$cleaned$,$verified;normal$,$111-30-8$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$0000111-76-2$,$111-76-2$,$cleaned$,$verified;normal$,$111-76-2$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$0000112-34-5$,$112-34-5$,$cleaned$,$verified;normal$,$112-34-5$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$000050-00-0$,$50-00-0$,$cleaned$,$verified;normal$,$50-00-0$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$000056-81-5$,$56-81-5$,$cleaned$,$verified;normal$,$56-81-5$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$000057-55-6$,$57-55-6$,$cleaned$,$verified;normal$,$57-55-6$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$000060-24-2$,$60-24-2$,$cleaned$,$verified;normal$,$60-24-2$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$000064-02-8$,$64-02-8$,$cleaned$,$verified;normal$,$64-02-8$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$000064-14-5$,$$,$unk$,$unk$,$64-17-5$,$corrected$,$False$,$typo$,$d:2021-10-06$,$$,$$
$000064-17-5$,$64-17-5$,$cleaned$,$verified;normal$,$64-17-5$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$000064-18-6$,$64-18-6$,$cleaned$,$verified;normal$,$64-18-6$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$000064-19-7$,$64-19-7$,$cleaned$,$verified;normal$,$64-19-7$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$000065-85-0$,$65-85-0$,$cleaned$,$verified;normal$,$65-85-0$,$cleaned$,$False$,$$,$d:2021-10-06$,$$,$$
$000067-30-0$,$$,$unk$,$unk$,$67-63-0$,$corrected$,$False$,$typo$,$d:2021-10-06$,$$,$$
