$non_specific_code$,$source$
$2-substituted aromatic amine salt$,$EPA_Appendix_H_2$
$acetylenic alcohol$,$EPA_Appendix_H_2$
$acrylamide acrylate copolymer$,$EPA_Appendix_H_2$
$acrylamide copolymer$,$EPA_Appendix_H_2$
$acrylamide modified polymer$,$EPA_Appendix_H_2$
$acrylamide-sodium acrylate copolymer$,$EPA_Appendix_H_2$
$acrylate copolymer$,$EPA_Appendix_H_2$
$acrylic copolymer$,$EPA_Appendix_H_2$
$acrylic polymer$,$EPA_Appendix_H_2$
$acrylic resin$,$EPA_Appendix_H_2$
$acyclic hydrocarbon blend$,$EPA_Appendix_H_2$
$acylbenzylpyridinium choride$,$EPA_Appendix_H_2$
$alcohol alkoxylate$,$EPA_Appendix_H_2$
$alcohol and fatty acid blend$,$EPA_Appendix_H_2$
$alcohol ethoxylates$,$EPA_Appendix_H_2$
$alcohols$,$EPA_Appendix_H_2$
$alcohols, c9-c22$,$EPA_Appendix_H_2$
$aldehydes$,$EPA_Appendix_H_2$
$alfa-alumina$,$EPA_Appendix_H_2$
$aliphatic acids$,$EPA_Appendix_H_2$
$aliphatic alcohol$,$EPA_Appendix_H_2$
$aliphatic alcohol glycol ether$,$EPA_Appendix_H_2$
$aliphatic alcohols, ethoxylated$,$EPA_Appendix_H_2$
$aliphatic amine derivative$,$EPA_Appendix_H_2$
$aliphatic carboxylic acid$,$EPA_Appendix_H_2$
$alkaline bromide salts$,$EPA_Appendix_H_2$
$alkaline metal oxide$,$EPA_Appendix_H_2$
$alkanes/alkenes$,$EPA_Appendix_H_2$
$alkanolamine derivative$,$EPA_Appendix_H_2$
$alkanolamine/aldehyde condensate$,$EPA_Appendix_H_2$
$alkenes$,$EPA_Appendix_H_2$
$alklaryl sulfonic acid$,$EPA_Appendix_H_2$
$alkoxylated alcohols$,$EPA_Appendix_H_2$
$alkoxylated amines$,$EPA_Appendix_H_2$
$alkyaryl sulfonate$,$EPA_Appendix_H_2$
$alkyl alkoxylate$,$EPA_Appendix_H_2$
$alkyl amide$,$EPA_Appendix_H_2$
$alkyl amine$,$EPA_Appendix_H_2$
$alkyl amine blend in a metal salt solution$,$EPA_Appendix_H_2$
$alkyl aryl amine sulfonate$,$EPA_Appendix_H_2$
$alkyl aryl polyethoxy ethanol$,$EPA_Appendix_H_2$
$alkyl dimethyl benzyl ammonium chloride$,$EPA_Appendix_H_2$
$alkyl esters$,$EPA_Appendix_H_2$
$alkyl ether phosphate$,$EPA_Appendix_H_2$
$alkyl hexanol$,$EPA_Appendix_H_2$
$alkyl ortho phosphate ester$,$EPA_Appendix_H_2$
$alkyl phosphate ester$,$EPA_Appendix_H_2$
$alkyl phosphonate$,$EPA_Appendix_H_2$
$alkyl pyridines$,$EPA_Appendix_H_2$
$alkyl quaternary ammonium chlorides$,$EPA_Appendix_H_2$
$alkyl quaternary ammonium salt$,$EPA_Appendix_H_2$
$alkylamine alkylaryl sulfonate$,$EPA_Appendix_H_2$
$alkylamine salts$,$EPA_Appendix_H_2$
$alkylaryl sulfonate$,$EPA_Appendix_H_2$
$alkylated quaternary chloride$,$EPA_Appendix_H_2$
$alkylated sodium naphthalenesulphonate$,$EPA_Appendix_H_2$
$alkylbenzenesulfonate$,$EPA_Appendix_H_2$
$alkylbenzenesulfonic acid$,$EPA_Appendix_H_2$
$alkylethoammonium sulfates$,$EPA_Appendix_H_2$
$alkylphenol ethoxylates$,$EPA_Appendix_H_2$
$alkylpyridinium quaternary$,$EPA_Appendix_H_2$
$alphatic alcohol polyglycol ether$,$EPA_Appendix_H_2$
$aluminum oxide$,$EPA_Appendix_H_2$
$amide$,$EPA_Appendix_H_2$
$amidoamine$,$EPA_Appendix_H_2$
$amine$,$EPA_Appendix_H_2$
$amine compound$,$EPA_Appendix_H_2$
$amine oxides$,$EPA_Appendix_H_2$
$amine phosphonate$,$EPA_Appendix_H_2$
$amine salt$,$EPA_Appendix_H_2$
$amino compounds$,$EPA_Appendix_H_2$
$amino methylene phosphonic acid salt$,$EPA_Appendix_H_2$
$ammonium alcohol ether sulfate$,$EPA_Appendix_H_2$
$ammonium salt$,$EPA_Appendix_H_2$
$ammonium salt of ethoxylated alcohol sulfate$,$EPA_Appendix_H_2$
$amorphous silica$,$EPA_Appendix_H_2$
$amphoteric surfactant$,$EPA_Appendix_H_2$
$anionic acrylic polymer$,$EPA_Appendix_H_2$
$anionic copolymer$,$EPA_Appendix_H_2$
$anionic polyacrylamide$,$EPA_Appendix_H_2$
$anionic polyacrylamide copolymer$,$EPA_Appendix_H_2$
$anionic polymer$,$EPA_Appendix_H_2$
$anionic surfactants$,$EPA_Appendix_H_2$
$antifoulant$,$EPA_Appendix_H_2$
$antimonate salt$,$EPA_Appendix_H_2$
$aqueous emulsion of diethylpolysiloxane$,$EPA_Appendix_H_2$
$aromatic alcohol glycol ether$,$EPA_Appendix_H_2$
$aromatic aldehyde$,$EPA_Appendix_H_2$
$aromatic hydrocarbons$,$EPA_Appendix_H_2$
$aromatic ketones$,$EPA_Appendix_H_2$
$aromatic polyglycol ether$,$EPA_Appendix_H_2$
$arsenic compounds$,$EPA_Appendix_H_2$
$ashes, residues$,$EPA_Appendix_H_2$
$bentone clay$,$EPA_Appendix_H_2$
$biocide$,$EPA_Appendix_H_2$
$biocide component$,$EPA_Appendix_H_2$
$bis-quaternary methacrylamide monomer$,$EPA_Appendix_H_2$
$blast furnace slag$,$EPA_Appendix_H_2$
$borate salts$,$EPA_Appendix_H_2$
$cadmium compounds$,$EPA_Appendix_H_2$
$carbohydrates$,$EPA_Appendix_H_2$
$carboxylmethyl hydroxypropyl guar$,$EPA_Appendix_H_2$
$cationic polyacrylamide$,$EPA_Appendix_H_2$
$cationic polymer$,$EPA_Appendix_H_2$
$cedar fiber, processed$,$EPA_Appendix_H_2$
$cellulase enzyme$,$EPA_Appendix_H_2$
$cellulose derivative$,$EPA_Appendix_H_2$
$cellulose ether$,$EPA_Appendix_H_2$
$cellulosic polymer$,$EPA_Appendix_H_2$
$ceramic$,$EPA_Appendix_H_2$
$chlorous ion solution$,$EPA_Appendix_H_2$
$chromates$,$EPA_Appendix_H_2$
$chrome-free lignosulfonate compound$,$EPA_Appendix_H_2$
$citrus rutaceae extract$,$EPA_Appendix_H_2$
$common white$,$EPA_Appendix_H_2$
$complex alkylaryl polyo-ester$,$EPA_Appendix_H_2$
$complex aluminum salt$,$EPA_Appendix_H_2$
$complex carbohydrate$,$EPA_Appendix_H_2$
$complex organometallic salt$,$EPA_Appendix_H_2$
$complex polyamine salt$,$EPA_Appendix_H_2$
$complex substituted keto-amine$,$EPA_Appendix_H_2$
$complex substituted keto-amine hydrochloride$,$EPA_Appendix_H_2$
$copper compounds$,$EPA_Appendix_H_2$
$coric oxide$,$EPA_Appendix_H_2$
$cotton dust (raw)$,$EPA_Appendix_H_2$
$cottonseed hulls$,$EPA_Appendix_H_2$
$cured acrylic resin$,$EPA_Appendix_H_2$
$cured resin$,$EPA_Appendix_H_2$
$cured urethane resin$,$EPA_Appendix_H_2$
$cyclic alkanes$,$EPA_Appendix_H_2$
$defoamer$,$EPA_Appendix_H_2$
$dibasic ester$,$EPA_Appendix_H_2$
$dicarboxylic acid$,$EPA_Appendix_H_2$
$diesel$,$EPA_Appendix_H_2$
$dimethyl silicone$,$EPA_Appendix_H_2$
$dispersing agent$,$EPA_Appendix_H_2$
$emulsifier$,$EPA_Appendix_H_2$
$enzyme$,$EPA_Appendix_H_2$
$epoxy$,$EPA_Appendix_H_2$
$epoxy resin$,$EPA_Appendix_H_2$
$essential oils$,$EPA_Appendix_H_2$
$ester salt$,$EPA_Appendix_H_2$
$esters$,$EPA_Appendix_H_2$
$ether compound$,$EPA_Appendix_H_2$
$ether salt$,$EPA_Appendix_H_2$
$ethoxylated alcohol blend$,$EPA_Appendix_H_2$
$ethoxylated alcohol/ester mixture$,$EPA_Appendix_H_2$
$ethoxylated alcohols$,$EPA_Appendix_H_2$
$ethoxylated alkyl amines$,$EPA_Appendix_H_2$
$ethoxylated amine blend$,$EPA_Appendix_H_2$
$ethoxylated amines$,$EPA_Appendix_H_2$
$ethoxylated fatty acid$,$EPA_Appendix_H_2$
$ethoxylated fatty acid ester$,$EPA_Appendix_H_2$
$ethoxylated nonionic surfactant$,$EPA_Appendix_H_2$
$ethoxylated nonylphenol$,$EPA_Appendix_H_2$
$ethoxylated sorbitol esters$,$EPA_Appendix_H_2$
$ethylene oxide-nonylphenol polymer$,$EPA_Appendix_H_2$
$fatty acid amine salt mixture$,$EPA_Appendix_H_2$
$fatty acid ester$,$EPA_Appendix_H_2$
$fatty acid tall oil$,$EPA_Appendix_H_2$
$fatty acid, ethoxylate$,$EPA_Appendix_H_2$
$fatty acids$,$EPA_Appendix_H_2$
$fatty alcohol alkoxylate$,$EPA_Appendix_H_2$
$fatty alkyl amine salt$,$EPA_Appendix_H_2$
$fatty amine carboxylates$,$EPA_Appendix_H_2$
$fatty imidazoline$,$EPA_Appendix_H_2$
$fluoroaliphatic polymeric esters$,$EPA_Appendix_H_2$
$formaldehyde polymer$,$EPA_Appendix_H_2$
$glass fiber$,$EPA_Appendix_H_2$
$glyceride esters$,$EPA_Appendix_H_2$
$glycol$,$EPA_Appendix_H_2$
$glycol blend$,$EPA_Appendix_H_2$
$glycol ethers$,$EPA_Appendix_H_2$
$ground cedar$,$EPA_Appendix_H_2$
$ground paper$,$EPA_Appendix_H_2$
$guar derivative$,$EPA_Appendix_H_2$
$guar gum$,$EPA_Appendix_H_2$
$haloalkyl heteropolycycle salt$,$EPA_Appendix_H_2$
