$CASNumber$,$IngredientName$,$categoryCAS$,$syn_code$,$bgSource$,$prospectCAS$,$curatedCAS$,$recog_syn$,$prospect_CAS_fromIng$,$alt_CAS$,$bgCAS$,$first_date$,$change_date$,$change_comment$
$!4808-60-7$,$crystalline silica, quartz$,$corrected$,$no_match$,$CAS_only$,$$,$14808-60-7$,$$,$non_spec$,$unk$,$14808-60-7$,$d:2021-10-07$,$$,$$
$"9003-05-8$,$anionic hydropolyacrylamide$,$cleaned$,$no_match$,$CAS_only$,$9003-05-8$,$9003-05-8$,$$,$non_spec$,$unk$,$9003-05-8$,$d:2021-10-07$,$$,$$
$'9003-04-7$,$sodium polyacrylate$,$cleaned$,$perfect$,$both$,$9003-04-7$,$9003-04-7$,$$,$9003-04-7$,$$,$9003-04-7$,$d:2021-10-07$,$$,$$
$(1338-43-8#)$,$sorbitan, mono-(9z)-9-octadecenoate$,$cleaned$,$perfect$,$both$,$1338-43-8$,$1338-43-8$,$$,$1338-43-8$,$$,$1338-43-8$,$d:2021-10-07$,$$,$$
$(14808-60-7#)$,$crystaline silica (quartz)$,$cleaned$,$no_match$,$CAS_only$,$14808-60-7$,$14808-60-7$,$$,$non_spec$,$unk$,$14808-60-7$,$d:2021-10-07$,$$,$$
$(64742-47-8#)$,$hydrotreated light distillate$,$cleaned$,$perfect$,$CAS_only$,$64742-47-8$,$64742-47-8$,$$,$non_spec$,$$,$64742-47-8$,$d:2021-10-07$,$$,$$
$(67-48-1#)$,$choline chloride$,$cleaned$,$perfect$,$both$,$67-48-1$,$67-48-1$,$$,$67-48-1$,$$,$67-48-1$,$d:2021-10-07$,$$,$$
$(7647-14-5#)$,$sodium chloride$,$cleaned$,$perfect$,$both$,$7647-14-5$,$7647-14-5$,$$,$7647-14-5$,$$,$7647-14-5$,$d:2021-10-07$,$$,$$
$(7727-54-0#)$,$ammonium persulphate$,$cleaned$,$no_match$,$CAS_only$,$7727-54-0$,$7727-54-0$,$$,$non_spec$,$unk$,$7727-54-0$,$d:2021-10-07$,$$,$$
$(7732-18-5#)$,$water$,$perfect match$,$perfect$,$both$,$7732-18-5$,$7732-18-5$,$$,$7732-18-5$,$$,$7732-18-5$,$d:2021-10-07$,$$,$$
$(78330-21-9#)$,$oxyalkylated alcohol$,$cleaned$,$perfect$,$CAS_only$,$78330-21-9$,$78330-21-9$,$$,$non_spec$,$$,$78330-21-9$,$d:2021-10-07$,$$,$$
$(83446-68-8#)$,$1-propanesulfonic acid, 2-methyl-2-[(1-ixi-2-propen-1-yl) amino]-, polymer with 2-propenamide, sodium salt$,$cleaned$,$close_match$,$both$,$83446-68-8$,$83446-68-8$,$$,$83446-68-8$,$$,$83446-68-8$,$d:2021-10-07$,$$,$$
$(9005-65-6#)$,$polyoxyethylene sorbitan monooleate$,$cleaned$,$perfect$,$both$,$9005-65-6$,$9005-65-6$,$$,$9005-65-6$,$$,$9005-65-6$,$d:2021-10-07$,$$,$$
$(Proprietary)$,$MISSING$,$proprietary$,$no_match$,$neither$,$$,$proprietary$,$$,$non_spec$,$unk$,$proprietary$,$d:2021-10-07$,$$,$$
$(Proprietary)$,$missing$,$proprietary$,$$,$neither$,$$,$proprietary$,$$,$$,$$,$proprietary$,$d:2021-10-07$,$$,$$
$(cid:3)1319-33-1$,$borate$,$corrected$,$no_match$,$CAS_only$,$$,$1319-33-1$,$$,$non_spec$,$unk$,$1319-33-1$,$d:2021-10-07$,$$,$$
$(cid:98)(cid:98)(cid:98)(cid:98)(cid:98)(cid:98)71$,$propyl(cid:98)alcohol$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$-16) olefin sulfonate68439-57-6$,$MISSING$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$-16) olefin sulfonate68439-57-6$,$missing$,$ambiguousID$,$$,$neither$,$$,$ambiguous$,$$,$$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$-50-5,629-59-4,67-56-1$,$MISSING$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$-50-5,629-59-4,67-56-1$,$missing$,$ambiguousID$,$$,$neither$,$$,$ambiguous$,$$,$$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$-96-6$,$MISSING$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$-96-6$,$missing$,$ambiguousID$,$$,$neither$,$$,$ambiguous$,$$,$$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$-97-0$,$MISSING$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$-97-0$,$missing$,$ambiguousID$,$$,$neither$,$$,$ambiguous$,$$,$$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$.7664-09-5$,$sulfur dioxide$,$corrected$,$perfect$,$both$,$$,$7446-09-5$,$$,$7446-09-5$,$$,$7446-09-5$,$d:2021-10-07$,$$,$$
$0$,$0$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$3rd party proprietary$,$ambiguousID$,$proprietary$,$neither$,$$,$ambiguous$,$$,$proprietary$,$unk$,$proprietary$,$d:2021-10-07$,$$,$$
$0$,$MISSING$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$alcohol alkoxylate$,$ambiguousID$,$perfect$,$neither$,$$,$ambiguous$,$$,$non_spec$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$alcohol ethoxylate surfactants$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$alkoxylated amines$,$ambiguousID$,$perfect$,$neither$,$$,$ambiguous$,$$,$non_spec$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$alkyl amine surfactant$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$amine salts$,$ambiguousID$,$close_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$ammonium salt$,$ambiguousID$,$perfect$,$neither$,$$,$ambiguous$,$$,$non_spec$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$anionic poly acrylamide$,$ambiguousID$,$close_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$ar prop 7$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$bis (hydrogenated tallow alkyl dimethyl$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$carrier / base fluid - water$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$cationic polyacrylamide co polymer$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$citric acid$,$ambiguousID$,$perfect$,$ING_only$,$$,$ambiguous$,$$,$77-92-9$,$$,$77-92-9$,$d:2021-10-07$,$$,$$
$0$,$cocamide diethanolamine salt$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$complex mixture$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$corn meal$,$ambiguousID$,$perfect$,$ING_only$,$$,$ambiguous$,$$,$68525-86-0$,$$,$68525-86-0$,$d:2021-10-07$,$$,$$
$0$,$cured acrylic resin$,$ambiguousID$,$perfect$,$neither$,$$,$ambiguous$,$$,$non_spec$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$essential oils$,$ambiguousID$,$perfect$,$neither$,$$,$ambiguous$,$$,$non_spec$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$field salt water$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$guar gum derivative$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$h2o$,$ambiguousID$,$perfect$,$ING_only$,$$,$ambiguous$,$$,$7732-18-5$,$$,$7732-18-5$,$d:2021-10-07$,$$,$$
$0$,$mannanase enzymes$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$missing$,$ambiguousID$,$$,$neither$,$$,$ambiguous$,$$,$$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$n-olefins$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$no hazardous components$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$no hazardous ingredients$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$no ingredients as hazardous$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$no ingredients as hazardous according to osha 29 cfr 1910.1200$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$nonionic fluorosurfactant$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$organic solvent$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$oxyalkylated phenolic resin$,$ambiguousID$,$perfect$,$neither$,$$,$ambiguous$,$$,$non_spec$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$paraffinic solvent$,$ambiguousID$,$perfect$,$neither$,$$,$ambiguous$,$$,$non_spec$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$phosphonate compound$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0$,$potassium chloride$,$ambiguousID$,$perfect$,$ING_only$,$$,$ambiguous$,$$,$7447-40-7$,$$,$7447-40-7$,$d:2021-10-07$,$$,$$
$0$,$proprietary$,$ambiguousID$,$proprietary$,$neither$,$$,$ambiguous$,$$,$proprietary$,$unk$,$proprietary$,$d:2021-10-07$,$$,$$
$0$,$proprietary blend$,$ambiguousID$,$proprietary$,$neither$,$$,$ambiguous$,$$,$proprietary$,$unk$,$proprietary$,$d:2021-10-07$,$$,$$
$0$,$proprietary inorganic salts$,$ambiguousID$,$proprietary$,$neither$,$$,$ambiguous$,$$,$proprietary$,$unk$,$proprietary$,$d:2021-10-07$,$$,$$
