$rawName$,$cleanName$,$xlateName$,$status$,$first_date$,$change_date$,$change_comment$
$"$,$"$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$& Chemicals$,$& chemicals$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$(cid:98)(cid:98)(cid:98)(cid:98)(cid:98)$,$(cid:98)(cid:98)(cid:98)(cid:98)(cid:98)$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$*X-Chem$,$*x-chem$,$x chem$,$curated$,$d:2021-07-04$,$$,$$
$, (50# bag)Baker Hughes$,$, (50# bag)baker hughes$,$baker$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$company name present$
$, Inc$,$, inc$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$, Inc.$,$, inc.$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$, LLC$,$, llc$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$-Halliburton$,$-halliburton$,$halliburton$,$curated$,$d:2021-07-04$,$$,$$
$/40 OttawaUniversal Well Services$,$/40 ottawauniversal well services$,$universal$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$company name present$
$/50 OttawaUniversal Well Services$,$/50 ottawauniversal well services$,$universal$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$company name present$
$/50Baker Hughes$,$/50baker hughes$,$baker$,$curated$,$d:2021-07-04$,$$,$$
$/70 OttawaUniversal Well Services$,$/70 ottawauniversal well services$,$universal$,$curated$,$d:2021-07-04$,$$,$$
$0$,$0$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$0.0$,$0.0$,$not a company$,$curated$,$d:2021-10-07$,$$,$$
$1$,$1$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$10% McAllen City Water and 90% Lopez Water Well$,$10% mcallen city water and 90% lopez water well$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$10.1-15$,$10.1-15$,$not a company$,$curated$,$d:2021-10-07$,$$,$$
$10/01/15$,$10/01/15$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$100 % Lopez Ranch Well$,$100 % lopez ranch well$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$100 McAllen Central$,$100 mcallen central$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$100 McAllen Cntral$,$100 mcallen cntral$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
